Code;Service;COD;NOTSMS;NOPUP;NODLV;DLVFLEX;MPRC;DLVNOT;HPALLET;QPALLET;AIR;DLVT12;DLVIN;SPTR;NOT;;;;;;;;;;;;;
PNL330;Bring CarryOn Business;l;;;;l;l;;;;;l;;l;;;;;;;;;;;;;;
PNL331;Bring CarryOn Business Return;;;;;;;;;;;;;;;;;;;;;;;;;;;
PNL332;Bring CarryOn Business BulkSplit;l;l;;;l;l;;;;;;;l;;;;;;;;;;;;;;
PNL333;Bring CarryOn Business BulkReturn;;;;;;;;;;;;;;;;;;;;;;;;;;;
PNL334;Bring CarryOn Business BulkSplit 09.00;l;l;;;;;;;;;;;;;;;;;;;;;;;;;
PNL335;Bring CarryOn Business 09.00;;;l;l;;l;;;;;;;;;;;;;;;;;;;;;
PNL336;Bring CarryOn Business Pallet;;;;;l;;;l;l;;;l;;;;;;;;;;;;;;;
PNL339;Bring CarryOn Business Pallet 09.00;;;;;;;;;;;;;;;;;;;;;;;;;;;
PNL340;Bring CarryOn HomeShopping;l;l;;;l;;l;;;;;;l;;;;;;;;;;;;;;
PNL341;Bring CarryOn HomeShopping Return;;;;;;;;;;;;;;;;;;;;;;;;;;;
PNL342;Bring CarryOn HomeShopping BulkSplit;l;l;;;l;l;;;;;;;l;;;;;;;;;;;;;;
PNL343;Bring CarryOn HomeShopping BulkReturn;;;;;;;;;;;;;;;;;;;;;;;;;;;
PNL345;Bring CarryOn HomeShopping Bulksplit Mini;;;;;;;;;;;;;;;;;;;;;;;;;;;
PNL349;Bring CarryOn HomeShopping Bulksplit Home;l;;;;l;;;;;;;;;l;;;;;;;;;;;;;
PNL359;Bring CarryOn Budget;;;;;;;;;;l;;;;;;;;;;;;;;;;;
