Code;Service;COD;NOTSMS;DLVFLEX;MPRC;HPALLET;QPALLET;DLVT12;DLVIN;NOT;;;;;;;;;;;;;;;;;;
PNLNO330;Bring (NO) CarryOn Business;l;l;l;l;;;l;;;;;;;;;;;;;;;;;;;;
PNLNO331;Bring (NO) CarryOn Business Return;;;;;;;;;;;;;;;;;;;;;;;;;;;
PNLNO332;Bring (NO) CarryOn Business BulkSplit;l;l;l;l;;;;;;;;;;;;;;;;;;;;;;;
PNLNO333;Bring (NO) CarryOn Business BulkReturn;;;;;;;;;;;;;;;;;;;;;;;;;;;
PNLNO334;Bring (NO) CarryOn Business BulkSplit 09.00;l;l;;;;;;;;;;;;;;;;;;;;;;;;;
PNLNO336;Bring (NO) CarryOn Business Pallet;;l;l;;l;l;;l;;;;;;;;;;;;;;;;;;;
PNLNO340;Bring (NO) CarryOn HomeShopping;l;l;l;;;;;;;;;;;;;;;;;;;;;;;;
PNLNO341;Bring (NO) CarryOn HomeShopping Return;;;;;;;;;;;;;;;;;;;;;;;;;;;
PNLNO342;Bring (NO) CarryOn HomeShopping BulkSplit;l;l;l;l;;;;;;;;;;;;;;;;;;;;;;;
PNLNO343;Bring (NO) CarryOn HomeShopping BulkReturn;;;;;;;;;;;;;;;;;;;;;;;;;;;
PNLNO349;Bring (NO) CarryOn HomeShopping Bulksplit Home;l;;;;;;;;l;;;;;;;;;;;;;;;;;;
PNLNOWAY;Bring (NO) CarryOn Waybill;;;;;;;;;;;;;;;;;;;;;;;;;;;
